       X|       Y|       1|       2|       3|       4|       5|
       1|       1|     3.0|     ---|     2.0|     2.0|     2.0|
       2|       4|     5.0|     4.0|     ---|     4.0|     4.0|
       3|       9|     7.0|     6.0|     ---|     6.0|     6.0|
       4|      16|     9.0|     8.0|     ---|     8.0|     8.0|
       5|      25|    11.0|    10.0|     ---|    10.0|    10.0|
       6|      36|    13.0|    12.0|     ---|    12.0|    12.0|
       7|      49|    15.0|    14.0|     ---|    14.0|    14.0|
       8|      64|    17.0|    16.0|     ---|    16.0|    16.0|
       9|      81|    19.0|    18.0|     ---|    18.0|    18.0|
      10|     100|    21.0|    20.0|     ---|     ---|    20.0|
      11|     121|     ---|     ---|    22.0|     ---|     ---|
